popularity,budget,revenue,original_title,runtime,genres,release_date,vote_count,vote_average,release_year
32.985763,150000000,1513528810,Jurassic World,124,Action|Adventure|Science Fiction|Thriller,6/9/15,5562,6.5,2015
28.419936,150000000,378436354,Mad Max: Fury Road,120,Action|Adventure|Science Fiction|Thriller,5/13/15,6185,7.1,2015
13.112507,110000000,295238201,Insurgent,119,Adventure|Science Fiction|Thriller,3/18/15,2480,6.3,2015
11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,136,Action|Adventure|Science Fiction|Fantasy,12/15/15,5292,7.5,2015
9.335014,190000000,1506249360,Furious 7,137,Action|Crime|Thriller,4/1/15,2947,7.3,2015
9.1107,135000000,532950503,The Revenant,156,Western|Drama|Adventure|Thriller,12/25/15,3929,7.2,2015
8.654359,155000000,440603537,Terminator Genisys,125,Science Fiction|Action|Thriller|Adventure,6/23/15,2598,5.8,2015
7.6674,108000000,595380321,The Martian,141,Drama|Adventure|Science Fiction,9/30/15,4572,7.6,2015
7.40416499999999,74000000,1156730962,Minions,91,Family|Animation|Adventure|Comedy,6/17/15,2893,6.5,2015
6.326804,175000000,853708609,Inside Out,94,Comedy|Animation|Family,6/9/15,3935,8.0,2015
6.200282,245000000,880674609,Spectre,148,Action|Adventure|Crime,10/26/15,3254,6.2,2015
6.189369,176000003,183987723,Jupiter Ascending,124,Science Fiction|Fantasy|Action|Adventure,2/4/15,1937,5.2,2015
6.118847,15000000,36869414,Ex Machina,108,Drama|Science Fiction,1/21/15,2854,7.6,2015
5.984995,88000000,243637091,Pixels,105,Action|Comedy|Science Fiction,7/16/15,1575,5.8,2015
5.944927,280000000,1405035767,Avengers: Age of Ultron,141,Action|Adventure|Science Fiction,4/22/15,4304,7.4,2015
5.8984,44000000,155760117,The Hateful Eight,167,Crime|Drama|Mystery|Western,12/25/15,2389,7.4,2015
5.749758,48000000,325771424,Taken 3,109,Crime|Action|Thriller,1/1/15,1578,6.1,2015
5.5731839999999995,130000000,518602163,Ant-Man,115,Science Fiction|Action|Adventure,7/14/15,3779,7.0,2015
5.556818,95000000,542351353,Cinderella,112,Romance|Fantasy|Family|Drama,3/12/15,1495,6.8,2015
